issue_key,commit_id
HIVE-1028,3ce0c1f56cc8a93608b1246b98a7677f9898d045
HIVE-1029,5462fa25dd1ee6dd1dfb409c3c13d007e38eeb37
HIVE-1030,72a3ae384d1deb0a8e6e6609ddf3517f50aaa2fc
HIVE-1031,4bdf50cfe3f860930f757796a1717183fb1fc89c
HIVE-1037,0b09d0104dde7734965e5825f2a5d06987f906ae
HIVE-1038,9c2deb40dfd714dfc12b1058b34e7bef6a8fabf2
HIVE-1039,a112e3dbd0c72ba5ff65320224fa29033b4e6f51
HIVE-1042,0357cee3c69cd265d295a0db716ae57fb1107ea4
HIVE-1045,0fe21d1ce02106af2051c41bac26ecb87ca0440e
HIVE-1046,b45e152745cbe8f2ae8c0651c84ae3ce0552e2ff
HIVE-1056,b45ecc0f77191538c17bdf6cec873ad1a2403144
HIVE-1059,2a3a42ffcca2162fe4b0b65ed542ad793ea4942e
HIVE-1064,c6bc891dae978c8e9bdd1b60538b5096c7ab4798
HIVE-1066,7d58e6b8579bd4cb9b7188005f1bd8309e8ebf38
HIVE-1072,da7694b77425cdf9d150c71f9f2c80897d46f491
HIVE-1075,909d0ee30b6edc264d2e3a34f3066ab4729f4a89
HIVE-1085,364f2d84ab40612d6ad3d99dde8f69311aa5acb0
HIVE-1086,cb8d5f3df93e625330e41bcdf2276d22e08d9c9e
HIVE-1088,2d1933c197cd7735d6118637d79394991288d05d
HIVE-1092,afc029632ef886d92cb29a6898737a74c3235189
HIVE-1094,c2d3085f42e6b7dd771b062fb4f683921ac4a8e1
HIVE-1097,a1130b38cfd9ed3be33e6bd3f82ae1fbbc5206b4
HIVE-1099,242487cecb0973b57f9ce0b138e66c19c60a4627
HIVE-1116,c6061820bc3054b6ae7049b92e63682573329b29
HIVE-1124,9bc94da9392dba29627b7e5b9153719827b616f7
HIVE-1125,bae9753645baf804903c9e590ead2fcb6aa6f220
HIVE-1129,96161ccaef3128c383be4927c8f6b528b9eda477
HIVE-1140,ac753e4365a6b1a7fbef74baf0c273a7864ea543
HIVE-1141,b32301c3f26d841e34da61144ea46dbe6fab9d12
